Question Glance,Question 1,Answer,Company,Role
payments experience,"What experience do you have with billing, payments, or sensitive data (PCI/PII)?","At LegalShield, I led the modernization and replatforming of our company’s entire checkout flow, which supported over $250M in annual revenue. We replaced three legacy systems with a modern, PCI- and PII-compliant platform using React SPAs and a Node/C# microservice architecture. The system had to handle different order schemas and databases, and support B2C, D2C, and sales channels — all while keeping the experience seamless for the user.
I introduced test-driven development practices to reduce risk in payment workflows and led the architecture of core abstractions that allowed us to scale across teams without duplicating logic. I also worked closely with Finance and Legal on compliance requirements like PCI, PII, and ADA to ensure customer protection and platform reliability.
Earlier at Vacasa, I built services on AWS (Lambda, SQS, API Gateway) to support high-volume messaging between guests and staff — not directly billing, but with similar reliability and scale requirements. That experience shaped my approach to building systems that are both resilient and customer-friendly.",Untitled (https://www.notion.so/2316509554a7815a9b69e9014a702793?pvs=21),
customer empathy,What does being customer-obsessed mean to you?,"In any role, I make a point to personally explore user flows to understand the journey from a real customer’s perspective. I’ll dig into — or implement — the analytics stack to make sure we’re working from actual behavior, not assumptions. As I write this, I’m toggling through Zapier’s current checkout experience and already see an opportunity to save 44 keystrokes by implementing something like Stripe’s Link to autofill payment info. I’m always scanning for friction that can be removed.
At Vacasa, a tech-enabled vacation rental management company, I booked a weekend at one of our own properties and even volunteered during a cleaning staff shortage just to experience the product end to end. I apply the same approach to internal tools — at both Vacasa and LegalShield, I ran workshops with my team and internal stakeholders to make sure engineers understood what we were building and why. That context helped them contribute more to testing coverage, edge cases, and design feedback.
I also work closely with product and design to make sure we’re balancing technical feasibility with what actually makes the experience better for the user. Customer-centricity isn’t something I delegate: It’s something I model and bake into how we build.",Untitled (https://www.notion.so/2316509554a7815a9b69e9014a702793?pvs=21),
Measure team performance,How do you measure the performance of your engineering team?,"I measure team performance through a mix of business outcomes, team-level output, and individual contribution. Business metrics usually include impact on revenue, costs, or NPS — depending on the product area. Team output is measured through things like features shipped, ticket throughput, and bug rates. And individual performance covers code quality, velocity, code reviews, and contributions to architecture or product direction.
I’m always looking for high-leverage practices that improve both quality and productivity. At Dun & Bradstreet, I introduced and refined a robust pull request (PR) template that significantly improved engineering habits. It increased code clarity, sped up reviews, reduced QA failures, and helped make us the highest-performing team in a $400M business line.
This small change also had a big impact on morale. Engineers felt more confident submitting code, reviewers gave better feedback, and the team took more ownership of quality overall. I originally drew inspiration from the concept of a “keystone habit” in The Power of Habit — something simple that creates outsized impact. I still use this mindset today: find the small changes that unlock bigger gains across performance, culture, and delivery.",Untitled (https://www.notion.so/2316509554a7815a9b69e9014a702793?pvs=21),
Cross-functional Leadership & Scalable Systems,Tell us about a project where you worked cross-functionally with many stakeholders.,"At LegalShield, I led the end-to-end modernization of our company’s checkout platform, replacing three legacy systems and supporting over $250M in annual revenue. The roadmap included redesigning the user flow, re-architecting core services, and enabling flexible product offerings across B2C, D2C, and Sales channels.
I collaborated with 23 stakeholders across four lines of business — including product, engineering, marketing, finance, legal, and sales — to shape a roadmap that balanced business continuity with long-term scalability. We phased delivery to minimize disruption, while aligning on shared KPIs like conversion rates, revenue lift, and reduction in order-related support tickets.
One of the most rewarding moments came during the final phase. I had taken a customer-centric approach not just for end users, but also internal business teams. By anticipating questions and pain points, I built reusable components, prebuilt test suites, and extensive documentation to support asynchronous development. When I reached out to the last business-line scheduled to migrate in fall 2023, I was surprised — they had already adopted the system and were on track to deliver independently that quarter. That moment showed how thoughtful systems and clear documentation can scale leadership across teams — without bottlenecks.",Untitled (https://www.notion.so/2316509554a7815a9b69e9014a702793?pvs=21),
Describe the best engineer you've worked with,"Why were they so great? What made them special? We're trying to understand what great engineering looks like to you and see you describe it in detail using a specific person. Having a reference point for great performance helps maintain your bar for future colleagues. Feel free to talk about who's set that bar for you, even if you haven't managed them.","John Howlett’s impact left clues across the entire organization—whether it was original source code, review comments, documentation, internal tooling, or company-wide wikis. He had a rare ability to think in terms of leverage: identifying the most critical business metrics, then designing scalable, reusable systems to move them.
He led the implementation of a design system that was adopted org-wide, standardizing styling and dramatically reducing development time. It wasn’t just a visual improvement—it was a long-term investment in consistency, velocity, and maintainability. John guided architecture decisions, invited collaboration, and made sure the system was intuitive and well-documented. His GitHub graph was a solid block of green—not just evidence of his prolific output, but of his belief that even the smallest components should be thoughtfully built, reviewed, and shared. He raised the bar for technical rigor, code quality, and developer experience.
One moment that stuck with me: we were debugging a persistent discrepancy in Google Analytics. After days of combing through the code, most of us were convinced the issue was in the implementation. John stepped back and questioned the analytics methodology itself. He was right—the root problem wasn’t in the pipeline but in the way the reporting logic was calculating events. That ability to pause, reframe, and get to the heart of a problem while others were heads-down in the weeds epitomized his systems thinking and data fluency.
Beyond his technical leadership, John was always ready to pair, mentor, and elevate those around him—whether direct reports, peers, or the broader engineering org. He stayed sharp through consistent study of emerging tools and trends and kept calm under pressure, communicating clearly and intentionally during critical projects. His mix of humility, thoughtfulness, and quiet excellence left a lasting mark on how I lead and build today.",Untitled (https://www.notion.so/2316509554a78179a26cc430a4cffaa5?pvs=21),
"Next Role, why us?",What  are you looking for in your next role? Why Ashby?,"I’m looking for a role that blends technical leadership with product-minded execution. I want to stay close to architecture and implementation, while working cross-functionally to shape product decisions that drive real business outcomes. I find it energizing to dig into business metrics—whether that’s revenue, costs, or NPS—and work backward to build systems that move those KPIs in the right direction.
I’m also drawn to companies like Ashby that prioritize engineering excellence, developer velocity, and thoughtful user experience. Ashby stands out not just for the strength of its platform, but for its mission to improve one of the most broken but impactful systems: hiring. I’ve been reflecting deeply on the candidate and company journey—I’m even building my own job application CRM—and I’d be excited to contribute to software that makes finding mutual fit more seamless, respectful, and data-informed.",Untitled (https://www.notion.so/2316509554a78179a26cc430a4cffaa5?pvs=21),
Why us?,why us?,"I’ve maintained a therapy practice since 2017, including CPT for PTSD, and care deeply about making mental healthcare more accessible. Headway’s mission aligns deeply with my lived experience and my engineering leadership—I’m excited to help build systems that make care easier to find and more human to access.",Untitled (https://www.notion.so/2316509554a781e396f9f018292c3bc7?pvs=21),
Why us?,why us?,"I don’t just prompt ChatGPT — I push it to prompt me. I actively employ it as a writing and thinking partner: shaping frameworks, refining mental models, and sharpening decisions. I’ve driven it to map five-year goals, pressure-test relationship dynamics, model financial scenarios, and structure the book I’m writing on strategic decision-making and long-term execution systems.
Outside of work, I took a sabbatical cycling solo from China to Portugal — part expedition, part systems thinking in motion. It was a hands-on pursuit to understand how the world fits together and what it takes to achieve ambitious, long-term goals. I regularly perform at The Moth to refine my storytelling, and as an angel investor, I’ve backed automation and AI tools aligned with my belief that the future of work is shaped by systems that augment human creativity, decision-making, and output.
OpenAI feels like the rare place where technical leadership, strategic clarity, and human-centered thinking converge toward a mission that truly matters. I’d be excited to contribute.",Untitled (https://www.notion.so/2316509554a781dcafcbf5ecae4ba07a?pvs=21),
How did you hear about us?,How did you hear about Mattermost?,"I came across Mattermost while researching high-impact engineering leadership roles at mission-driven, remote-first companies. The focus on secure collaboration and open-source principles immediately stood out.",Untitled (https://www.notion.so/2316509554a781168d94c2d0f7cc4cb5?pvs=21),
Why this role?,Why are you interested in this role at Mattermost?,"I’m drawn to Mattermost’s mission of enabling secure, mission-critical collaboration. As someone who’s volunteered on backcountry medical teams and trained with Pacific Northwest Search and Rescue, I’ve seen firsthand how clarity, coordination, and reliable tools make the difference when the stakes are high.
Professionally, I’ve led platform modernization efforts in high-scale environments, and I’m excited by the opportunity to lead a team working in Go and React to build secure, high-availability systems. I also care deeply about developer velocity and the promise of AI-assisted tooling to support world-class engineering.",Untitled (https://www.notion.so/2316509554a781168d94c2d0f7cc4cb5?pvs=21),
