lighthouse,objectives,timeline,Target Date
publish YNM,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),📈 1–3 Years,2026/01/15
35th birthday,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📈 1–3 Years,2026/05/01
six pack,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📈 1–3 Years,2026/06/15
half ironman,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📈 1–3 Years,2026/06/15
win a moth story slam,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),📈 1–3 Years,2026/12/31
HSK 5,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),📈 1–3 Years,2026/12/31
cycle Uzbekistan,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📈 1–3 Years,2027/05/31
spanish fluency,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),📈 1–3 Years,2027/12/31
UC Berkeley graduation speech,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),📈 1–3 Years,2027/12/31
buy in Ericeira,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📈 1–3 Years,2027/12/31
give a moth mainstage,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),📈 1–3 Years,2027/12/31
surf 25ft,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📈 1–3 Years,2027/12/31
