project,priority,created,KRs,category,complexity,dependencies,objectives,pillars (initiatives),status,target date,timeEffort
"$4,000 - TAXEZ - FTB Taxes",,"September 14, 2021 12:16 PM",,Money/Finances,,,,,deleted/canceled,,
"$2,000 - GC Shipping invoice",,"September 14, 2021 12:17 PM",,Money/Finances,,,,,deleted/canceled,,
close Loops,,"September 14, 2021 12:18 PM",,Growth/Spirituality,,,,,triage,,
BZYWRK-Clear 805 VM,,"September 14, 2021 12:18 PM",,Career/Work,,,,,triage,,
sell cervelo/torelli,,"September 14, 2021 12:22 PM",,Home,,,,,backlog,,
Fixup Alan Shorter,,"September 14, 2021 12:22 PM",,Fun/Recreation,,,,,backlog,,
Refinish furniture,,"September 14, 2021 12:22 PM",,Fun/Recreation,,,,,backlog,,
Fix Fridge,,"September 14, 2021 12:24 PM",,Home,,,,,done,,
Upgrade Blue Steel,,"September 14, 2021 12:24 PM",,Fun/Recreation,,,,,backlog,,
$600/yr - Fix apple watch phone line,,"September 14, 2021 12:26 PM",,Money/Finances,,,,,deleted/canceled,,
"$4,000 - 825Grant - utilities+security deposit",,"September 14, 2021 12:27 PM",,Money/Finances,,,,,deleted/canceled,,
GRADSKL-Start PreReq Courses,,"September 14, 2021 9:25 PM",,Career/Work,,,,,backlog,,
"$18,000 - LS 401k",,"September 14, 2021 9:30 PM",,Money/Finances,,,,,done,,
"$4,000 LS Health IRA Thing",,"September 14, 2021 9:31 PM",,Money/Finances,,,,,deleted/canceled,,
2024 IRA contribution,,"September 14, 2021 9:38 PM",,Money/Finances,,,,,deleted/canceled,,
Get Friday money back/cancel/login,,"September 15, 2021 11:03 PM",,Money/Finances,,,,,backlog,,
"$2,000 - Get CA claim",,"September 15, 2021 11:03 PM",,Money/Finances,,,,,deleted/canceled,,
"$4,000 - Get OR UI Claim",,"October 27, 2021 10:04 PM",,Money/Finances,,,,,deleted/canceled,,
$400 - Get Friday money back/cancel/login,,"October 27, 2021 10:04 PM",,Money/Finances,,,,,deleted/canceled,,
goalSet 2025-30,"important, urgent","October 29, 2021 3:03 PM",,Growth/Spirituality,,,,,inProgress,,
Connect with YCM WQL/harddrive,,"October 29, 2021 3:11 PM",,Community/Friends,,,,,done,,
Black Crows look pivot bindings,,"October 29, 2021 3:12 PM",,Fun/Recreation,,,,,backlog,,
hang bicycle parking sign,,"October 29, 2021 3:13 PM",,Home,,,,,done,,
hang chinese sign,,"October 29, 2021 3:14 PM",,Home,,,,,backlog,,
hang OMW poster,,"October 29, 2021 3:14 PM",,Home,,,,,backlog,,
Organize SB home,,"October 29, 2021 3:15 PM",,Home,,,,,backlog,,
Organize external harddrives,,"October 29, 2021 3:15 PM",,Home,,,,,backlog,,
"$20,000 - Sell Patti",,"October 29, 2021 3:34 PM",,Money/Finances,,,,,done,,
"$20,000 - Sell Red",,"October 29, 2021 4:00 PM",,Money/Finances,,,,,done,,
$300 - MovoPhoto invoice,,"October 29, 2021 4:09 PM",,Money/Finances,,,,,deleted/canceled,,
Consolidate Investments,,"April 2, 2022 2:35 PM",,Money/Finances,,,,,done,,
2021 Taxes,,"April 16, 2022 11:54 AM",,Money/Finances,,,,,done,,
"$95,000 - Invisible Shares Adjustment",,"April 16, 2022 11:55 AM",,Money/Finances,,,,,done,,
Baseline Snow White,,"March 10, 2023 10:26 PM",,Home,,,,,done,,
workshop SkiRack,,"February 10, 2025 2:19 PM",,Home,,,,,backlog,,
heat trivet,,"February 10, 2025 5:24 PM",,Home,,,,,backlog,,
Living Room plants,,"February 10, 2025 5:41 PM",,Home,,,,,backlog,,
fix 7’3”,,"February 10, 2025 6:30 PM",,Fun/Recreation,,,,,backlog,,
fix fish,,"February 10, 2025 6:41 PM",,Fun/Recreation,,,,,backlog,,
fix longboard,,"February 10, 2025 6:41 PM",,Fun/Recreation,,,,,backlog,,
appt Dental,"important, urgent","February 11, 2025 10:43 AM",,Health/Fitness,,,,,done,,
appt Derm,"important, urgent","February 11, 2025 10:43 AM",,Health/Fitness,,,,,done,,
schedule Therapy,"important, urgent","February 11, 2025 10:43 AM",,Health/Fitness,,,,,done,,
schedule Brie Call,important,"February 11, 2025 10:43 AM",,Health/Fitness,,,,,done,,
schedule EQ,important,"February 11, 2025 10:44 AM",,Health/Fitness,,,,,done,,
appt PCP,"important, urgent","February 11, 2025 10:44 AM",,Health/Fitness,,,,,done,,
coordinate Colleen hang,urgent,"February 11, 2025 11:50 AM",,Community/Friends,,,,,done,,
connect with Chinese friends,"important, urgent","February 11, 2025 12:02 PM",,Community/Friends,,,,,inProgress,,
create friends list,,"February 11, 2025 12:08 PM",,Community/Friends,,,,,backlog,,
see BoCo friends,"important, urgent","February 11, 2025 12:33 PM",,Community/Friends,,,,,inProgress,,
see noBoCo friends,"important, urgent","February 11, 2025 12:36 PM",,Community/Friends,,,,,inProgress,,
see Maggie,"important, urgent","February 11, 2025 4:24 PM",,Family,,,,,done,,
see Mom,"important, urgent","February 11, 2025 4:24 PM",,Family,,,,,done,,
see Michelle/Michael/Gina,"important, urgent","February 11, 2025 4:25 PM",,Family,,,,,done,,
fidelity review,"important, urgent","February 11, 2025 4:47 PM",,Money/Finances,,,,,done,,
budget,"important, urgent","February 11, 2025 4:54 PM",,Money/Finances,,,,,done,,
rebill/change dentist,"important, urgent","February 11, 2025 5:20 PM",,Health/Fitness,,,,,notStarted,,
clear email,important,"February 11, 2025 5:37 PM",,Career/Work,,,,,triage,,
define book timeline,"important, urgent","February 11, 2025 10:37 PM",,Career/Work,,,,,done,,
plan writing snippets,"important, urgent","February 11, 2025 10:37 PM",,Career/Work,,,,,deleted/canceled,,
trip recap/PR plan,"important, urgent","February 11, 2025 10:38 PM",,Career/Work,,,,,triage,,
appt vision,"important, urgent","February 12, 2025 10:24 AM",,Health/Fitness,,,,,done,,
sleepApnea discovery,"important, urgent","February 12, 2025 1:55 PM",,Health/Fitness,,,,,inProgress,,
see colleagues,"important, urgent","February 12, 2025 2:19 PM",,Career/Work,,,,,triage,,
register Parking,"important, urgent","February 14, 2025 9:46 PM",,Home,,,,,done,,
taxes ‘24,important,"February 14, 2025 9:47 PM",,Money/Finances,,,,,done,,
update Calendar,"important, urgent","February 15, 2025 8:31 PM",,Career/Work,,,,,done,,
address blake partner comment,"important, urgent","February 27, 2025 3:59 PM",,Health/Fitness,,,,,done,,
receivables,,"March 4, 2025 10:34 PM",,,,,,,triage,,
read Henry’s AI doc,"important, urgent","March 22, 2025 8:53 PM",,,,,,,inProgress,,
apply to 10 jobs,"important, urgent","March 22, 2025 8:54 PM",,,,,,,inProgress,,
pitch 10 clients,"important, urgent","March 22, 2025 8:54 PM",,,,,,,notStarted,,
vet 10 business ideas,"important, urgent","March 22, 2025 8:54 PM",,,,,,,inProgress,,
write book proposal,"important, urgent","March 22, 2025 9:01 PM",,,,,,,inProgress,,
update bike website,"important, urgent","March 27, 2025 10:19 AM",,,,,,,inProgress,,
write YNM raw material,"important, urgent","March 27, 2025 11:19 AM",,,,,,,inProgress,,
vet selling Snow White,"important, urgent","March 27, 2025 11:31 AM",,,,,,,inProgress,,
