Initiative,objectives,Description,timeline,Priority,KRs,projects
bizNaz - 9-5 Job & Employment Opportunities,bizNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/bizNaz%201b66509554a7804eb582f48acd60fda0.md),,,,,
bizNaz - Continuing Education & Biz Credentials,bizNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/bizNaz%201b66509554a7804eb582f48acd60fda0.md),,,,"bizNaz - capm (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/bizNaz%20-%20capm%201bf6509554a78038abbad72cb9f00f93.md), bizNaz - cert product owner (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/bizNaz%20-%20cert%20product%20owner%201bf6509554a7806ea166d445624c4fbb.md), bizNaz - scrum master (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/bizNaz%20-%20scrum%20master%201bf6509554a7803882b5cf9105916f2e.md), bizNaz - AWS DA (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/bizNaz%20-%20AWS%20DA%201bf6509554a7803ead66cc686cd43afa.md), bizNaz - AWS SA (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/bizNaz%20-%20AWS%20SA%201bf6509554a78049b436d4e9d27bf6b3.md)",
bizNaz - Investing & Wealth-Building,bizNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/bizNaz%201b66509554a7804eb582f48acd60fda0.md),,,,"bizNaz - get onto offsite captable (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/bizNaz%20-%20get%20onto%20offsite%20captable%201bf6509554a7800591a1cc8009dcde26.md), bizNaz - get onto Invisible cap table (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/bizNaz%20-%20get%20onto%20Invisible%20cap%20table%201bf6509554a7800d8ff9e85ad5477751.md)",
bizNaz - 5-9 Entrepreneur & BizVentures,bizNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/bizNaz%201b66509554a7804eb582f48acd60fda0.md),,,,,
YNM - publish YNM,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),,,,"YNM/w - 50k sales post launch (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20w%20-%2050k%20sales%20post%20launch%201bc6509554a78064b2e9e1188faff0cc.md), YNM/w - raw material (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20w%20-%20raw%20material%201bc6509554a780d089f5eb61bd6a19b6.md), YNM/w - launch/rollout (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20w%20-%20launch%20rollout%201bc6509554a78075a693f31bc11773ad.md), YNM/w - self publish ready (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20w%20-%20self%20publish%20ready%201bc6509554a78070ae60dfb8e3e78d50.md), YNM/w - manuscript (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20w%20-%20manuscript%201bc6509554a78054810ddd226b462db0.md), YNM/w - revised draft (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20w%20-%20revised%20draft%201bc6509554a780f78bdef4527e577640.md), YNM/w - 1st draft (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20w%20-%201st%20draft%201bc6509554a7801e9f16dd297fa4b4e4.md), YNM/w - book proposal (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20w%20-%20book%20proposal%201bc6509554a780feae9df0441c5bfdb8.md), YNM/w - external editing (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20w%20-%20external%20editing%201bd6509554a78010a757c5038cbae2e0.md)",
YNM - speaking & live engagements,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),,,,"YNM/s - develop 1st signature talks book 3x (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20s%20-%20develop%201st%20signature%20talks%20book%203x%201bc6509554a78012a260e2a66066da7d.md), YNM/s - apply to 10 TEDx talks + q3 major events/keynotes (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20s%20-%20apply%20to%2010%20TEDx%20talks%20+%20q3%20major%20events%20k%201bc6509554a780b380dec4573f5967e1.md)",
YNM - PR/content+audience/community,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),,,,"YNM/co - weekly newsletter (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20co%20-%20weekly%20newsletter%201bd6509554a7806eaed3ea52414b166b.md), YNM/co - 3/4/w→12-16/mo→30-45/qr social posts (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20co%20-%203%204%20w%E2%86%9212-16%20mo%E2%86%9230-45%20qr%20social%20posts%201bd6509554a780168a9bdb581d66a622.md), YNM/co - 10-12 high quality insights (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20co%20-%2010-12%20high%20quality%20insights%201bd6509554a78018aafccf297f0aacea.md), YNM/pr - email list CTA (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20pr%20-%20email%20list%20CTA%201bd6509554a7800d87cffbe2af2153a1.md), YNM/pr - audience targets 500-1000 (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20pr%20-%20audience%20targets%20500-1000%201bd6509554a780749874f5b5c8f2001d.md), YNM/pr - 10-30 pitches → 3-7 features (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/KRs%201bc6509554a780bd8692d8c3a887946c/YNM%20pr%20-%2010-30%20pitches%20%E2%86%92%203-7%20features%201bd6509554a7805f8c0be4292aa0db87.md)",
YNM - biz growth & monetization,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),,,,,
healthz - bodyComp + health,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),,,,,
healthz - EQ skills,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),,,,,
