project,KRs,category,complexity,created,dependencies,objectives,pillars (initiatives),priority,status,target date,timeEffort
budget,,Money/Finances,,"February 11, 2025 4:54 PM",,,,"important, urgent",done,,
goalSet 2025-30,,Growth/Spirituality,,"October 29, 2021 3:03 PM",,,,"important, urgent",inProgress,,
trip recap/PR plan,,Career/Work,,"February 11, 2025 10:38 PM",,,,"important, urgent",triage,,
plan writing snippets,,Career/Work,,"February 11, 2025 10:37 PM",,,,"important, urgent",deleted/canceled,,
sleepApnea discovery,,Health/Fitness,,"February 12, 2025 1:55 PM",,,,"important, urgent",inProgress,,
rebill/change dentist,,Health/Fitness,,"February 11, 2025 5:20 PM",,,,"important, urgent",notStarted,,
fidelity review,,Money/Finances,,"February 11, 2025 4:47 PM",,,,"important, urgent",done,,
see colleagues,,Career/Work,,"February 12, 2025 2:19 PM",,,,"important, urgent",triage,,
see noBoCo friends,,Community/Friends,,"February 11, 2025 12:36 PM",,,,"important, urgent",inProgress,,
see BoCo friends,,Community/Friends,,"February 11, 2025 12:33 PM",,,,"important, urgent",inProgress,,
connect with Chinese friends,,Community/Friends,,"February 11, 2025 12:02 PM",,,,"important, urgent",inProgress,,
appt Dental,,Health/Fitness,,"February 11, 2025 10:43 AM",,,,"important, urgent",done,,
appt Derm,,Health/Fitness,,"February 11, 2025 10:43 AM",,,,"important, urgent",done,,
schedule Therapy,,Health/Fitness,,"February 11, 2025 10:43 AM",,,,"important, urgent",done,,
appt PCP,,Health/Fitness,,"February 11, 2025 10:44 AM",,,,"important, urgent",done,,
see Maggie,,Family,,"February 11, 2025 4:24 PM",,,,"important, urgent",done,,
see Mom,,Family,,"February 11, 2025 4:24 PM",,,,"important, urgent",done,,
see Michelle/Michael/Gina,,Family,,"February 11, 2025 4:25 PM",,,,"important, urgent",done,,
define book timeline,,Career/Work,,"February 11, 2025 10:37 PM",,,,"important, urgent",done,,
appt vision,,Health/Fitness,,"February 12, 2025 10:24 AM",,,,"important, urgent",done,,
register Parking,,Home,,"February 14, 2025 9:46 PM",,,,"important, urgent",done,,
update Calendar,,Career/Work,,"February 15, 2025 8:31 PM",,,,"important, urgent",done,,
address blake partner comment,,Health/Fitness,,"February 27, 2025 3:59 PM",,,,"important, urgent",done,,
read Henry’s AI doc,,,,"March 22, 2025 8:53 PM",,,,"important, urgent",inProgress,,
apply to 10 jobs,,,,"March 22, 2025 8:54 PM",,,,"important, urgent",inProgress,,
pitch 10 clients,,,,"March 22, 2025 8:54 PM",,,,"important, urgent",notStarted,,
vet 10 business ideas,,,,"March 22, 2025 8:54 PM",,,,"important, urgent",inProgress,,
write book proposal,,,,"March 22, 2025 9:01 PM",,,,"important, urgent",inProgress,,
update bike website,,,,"March 27, 2025 10:19 AM",,,,"important, urgent",inProgress,,
write YNM raw material,,,,"March 27, 2025 11:19 AM",,,,"important, urgent",inProgress,,
vet selling Snow White,,,,"March 27, 2025 11:31 AM",,,,"important, urgent",inProgress,,
