project,status,priority,KRs,pillars (initiatives),objectives,complexity,timeEffort,dependencies,target date,category,created
apply to 10 jobs,inProgress,"important, urgent",,,,,,,,,"March 22, 2025 8:54 PM"
pitch 10 clients,notStarted,"important, urgent",,,,,,,,,"March 22, 2025 8:54 PM"
vet 10 business ideas,inProgress,"important, urgent",,,,,,,,,"March 22, 2025 8:54 PM"
read Henry’s AI doc,inProgress,"important, urgent",,,,,,,,,"March 22, 2025 8:53 PM"
write YNM raw material,inProgress,"important, urgent",,,,,,,,,"March 27, 2025 11:19 AM"
vet selling Snow White,inProgress,"important, urgent",,,,,,,,,"March 27, 2025 11:31 AM"
goalSet 2025-30,inProgress,"important, urgent",,,,,,,,Growth/Spirituality,"October 29, 2021 3:03 PM"
write book proposal,inProgress,"important, urgent",,,,,,,,,"March 22, 2025 9:01 PM"
sleepApnea discovery,inProgress,"important, urgent",,,,,,,,Health/Fitness,"February 12, 2025 1:55 PM"
Black Crows look pivot bindings,backlog,,,,,,,,,Fun/Recreation,"October 29, 2021 3:12 PM"
BZYWRK-Clear 805 VM,triage,,,,,,,,,Career/Work,"September 14, 2021 12:18 PM"
clear email,triage,important,,,,,,,,Career/Work,"February 11, 2025 5:37 PM"
connect with Chinese friends,inProgress,"important, urgent",,,,,,,,Community/Friends,"February 11, 2025 12:02 PM"
create friends list,backlog,,,,,,,,,Community/Friends,"February 11, 2025 12:08 PM"
fix 7’3”,backlog,,,,,,,,,Fun/Recreation,"February 10, 2025 6:30 PM"
fix fish,backlog,,,,,,,,,Fun/Recreation,"February 10, 2025 6:41 PM"
fix longboard,backlog,,,,,,,,,Fun/Recreation,"February 10, 2025 6:41 PM"
Fixup Alan Shorter,backlog,,,,,,,,,Fun/Recreation,"September 14, 2021 12:22 PM"
Get Friday money back/cancel/login,backlog,,,,,,,,,Money/Finances,"September 15, 2021 11:03 PM"
GRADSKL-Start PreReq Courses,backlog,,,,,,,,,Career/Work,"September 14, 2021 9:25 PM"
hang chinese sign,backlog,,,,,,,,,Home,"October 29, 2021 3:14 PM"
hang OMW poster,backlog,,,,,,,,,Home,"October 29, 2021 3:14 PM"
heat trivet,backlog,,,,,,,,,Home,"February 10, 2025 5:24 PM"
Living Room plants,backlog,,,,,,,,,Home,"February 10, 2025 5:41 PM"
Organize external harddrives,backlog,,,,,,,,,Home,"October 29, 2021 3:15 PM"
Organize SB home,backlog,,,,,,,,,Home,"October 29, 2021 3:15 PM"
rebill/change dentist,notStarted,"important, urgent",,,,,,,,Health/Fitness,"February 11, 2025 5:20 PM"
Refinish furniture,backlog,,,,,,,,,Fun/Recreation,"September 14, 2021 12:22 PM"
close Loops,triage,,,,,,,,,Growth/Spirituality,"September 14, 2021 12:18 PM"
see BoCo friends,inProgress,"important, urgent",,,,,,,,Community/Friends,"February 11, 2025 12:33 PM"
see colleagues,triage,"important, urgent",,,,,,,,Career/Work,"February 12, 2025 2:19 PM"
see noBoCo friends,inProgress,"important, urgent",,,,,,,,Community/Friends,"February 11, 2025 12:36 PM"
update bike website,inProgress,"important, urgent",,,,,,,,,"March 27, 2025 10:19 AM"
sell cervelo/torelli,backlog,,,,,,,,,Home,"September 14, 2021 12:22 PM"
trip recap/PR plan,triage,"important, urgent",,,,,,,,Career/Work,"February 11, 2025 10:38 PM"
Upgrade Blue Steel,backlog,,,,,,,,,Fun/Recreation,"September 14, 2021 12:24 PM"
workshop SkiRack,backlog,,,,,,,,,Home,"February 10, 2025 2:19 PM"
receivables,triage,,,,,,,,,,"March 4, 2025 10:34 PM"
