lighthouse,objectives,timeline,Target Date
cull 30-50% of items,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📍 This Year,2025/08/31
longs peak duathlon,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📍 This Year,2025/09/30
finish boulder rides,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📍 This Year,2025/10/15
bierstatd duathlon,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📍 This Year,2025/10/31
badwater classic,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📍 This Year,2025/11/01
restore Alan Shorter,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📍 This Year,2025/12/15
UC Berkeley lecture,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),📍 This Year,2025/12/31
publish YNM,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),📈 1–3 Years,2026/01/15
35th birthday,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),📈 1–3 Years,2026/05/01
six pack,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),📈 1–3 Years,2026/06/15
